NIS, CHI_2 
0.580541, 7.815
0.162522, 5.991 
2.61031, 7.815
0.519449, 5.991 
0.456969, 7.815
0.166932, 5.991 
2.27088, 7.815
0.380666, 5.991 
1.32359, 7.815
0.33508, 5.991 
4.898, 7.815
2.19561, 5.991 
0.103836, 7.815
1.62628, 5.991 
0.44007, 7.815
2.46986, 5.991 
1.54921, 7.815
1.9905, 5.991 
0.462739, 7.815
1.14979, 5.991 
0.764051, 7.815
2.19986, 5.991 
2.84074, 7.815
1.83945, 5.991 
3.21103, 7.815
1.74011, 5.991 
1.55051, 7.815
0.962577, 5.991 
7.95044, 7.815
0.17959, 5.991 
0.411115, 7.815
0.355791, 5.991 
0.735438, 7.815
0.05141, 5.991 
2.93224, 7.815
0.534294, 5.991 
4.20261, 7.815
1.11467, 5.991 
2.12897, 7.815
1.37559, 5.991 
9.60166, 7.815
3.41179, 5.991 
6.3985, 7.815
2.99078, 5.991 
7.30404, 7.815
4.11491, 5.991 
8.73249, 7.815
1.18687, 5.991 
2.6996, 7.815
1.66657, 5.991 
1.17639, 7.815
2.25759, 5.991 
4.8519, 7.815
0.806654, 5.991 
0.723671, 7.815
0.333277, 5.991 
1.69692, 7.815
0.636899, 5.991 
0.982162, 7.815
8.36346, 5.991 
6.08118, 7.815
5.95947, 5.991 
7.08824, 7.815
5.07632, 5.991 
4.02029, 7.815
0.984565, 5.991 
4.45596, 7.815
0.61681, 5.991 
5.05392, 7.815
0.80505, 5.991 
5.68677, 7.815
3.41362, 5.991 
4.93858, 7.815
3.55279, 5.991 
4.7145, 7.815
3.12182, 5.991 
5.20425, 7.815
0.742534, 5.991 
4.66964, 7.815
0.585531, 5.991 
5.02184, 7.815
0.760894, 5.991 
5.23541, 7.815
2.71409, 5.991 
3.0207, 7.815
3.98959, 5.991 
2.77618, 7.815
3.8381, 5.991 
2.27805, 7.815
1.23129, 5.991 
0.933191, 7.815
0.725586, 5.991 
1.48107, 7.815
0.722928, 5.991 
1.12534, 7.815
0.154141, 5.991 
1.92351, 7.815
0.0382756, 5.991 
2.67083, 7.815
0.000273828, 5.991 
2.28457, 7.815
0.146314, 5.991 
1.10302, 7.815
0.703903, 5.991 
0.751868, 7.815
0.447712, 5.991 
2.34871, 7.815
0.203124, 5.991 
0.498549, 7.815
1.61251, 5.991 
0.367567, 7.815
0.928804, 5.991 
0.791158, 7.815
3.26841, 5.991 
5.92662, 7.815
1.91726, 5.991 
6.19891, 7.815
1.76606, 5.991 
4.12807, 7.815
1.85403, 5.991 
2.22851, 7.815
5.28426, 5.991 
2.77547, 7.815
3.0961, 5.991 
3.25176, 7.815
1.4507, 5.991 
0.751699, 7.815
2.49013, 5.991 
0.86428, 7.815
2.44179, 5.991 
0.812919, 7.815
5.07847, 5.991 
0.0750477, 7.815
1.29623, 5.991 
0.0346161, 7.815
2.76189, 5.991 
0.657627, 7.815
1.85474, 5.991 
3.33922, 7.815
0.330582, 5.991 
4.34979, 7.815
0.648495, 5.991 
2.68372, 7.815
2.97143, 5.991 
0.250411, 7.815
1.19262, 5.991 
0.332401, 7.815
1.42253, 5.991 
0.780567, 7.815
2.72072, 5.991 
1.42271, 7.815
1.06129, 5.991 
0.598047, 7.815
0.899891, 5.991 
2.76, 7.815
2.01163, 5.991 
0.340813, 7.815
0.581963, 5.991 
1.71209, 7.815
0.437869, 5.991 
0.707607, 7.815
4.25875, 5.991 
6.4755, 7.815
3.68849, 5.991 
11.1305, 7.815
1.38716, 5.991 
5.23623, 7.815
0.445066, 5.991 
5.2578, 7.815
0.660986, 5.991 
7.15168, 7.815
0.452644, 5.991 
6.01947, 7.815
2.26876, 5.991 
0.622336, 7.815
3.94946, 5.991 
3.05535, 7.815
6.04545, 5.991 
0.530734, 7.815
1.43606, 5.991 
3.54209, 7.815
5.0796, 5.991 
6.05433, 7.815
1.90357, 5.991 
2.96616, 7.815
4.92921, 5.991 
2.40325, 7.815
3.03742, 5.991 
4.66937, 7.815
7.47703, 5.991 
0.902063, 7.815
2.09332, 5.991 
0.507043, 7.815
0.325533, 5.991 
0.262155, 7.815
2.25304, 5.991 
1.11049, 7.815
2.00017, 5.991 
0.977078, 7.815
1.15524, 5.991 
1.17819, 7.815
2.67034, 5.991 
0.91578, 7.815
3.22706, 5.991 
2.35232, 7.815
1.44654, 5.991 
4.27549, 7.815
2.78923, 5.991 
2.71087, 7.815
1.31642, 5.991 
5.58167, 7.815
0.510923, 5.991 
6.70897, 7.815
0.424762, 5.991 
8.614, 7.815
2.96948, 5.991 
4.55125, 7.815
1.14377, 5.991 
4.70723, 7.815
1.80425, 5.991 
4.49724, 7.815
0.164328, 5.991 
2.14565, 7.815
1.0554, 5.991 
3.08794, 7.815
0.231245, 5.991 
1.20237, 7.815
0.362074, 5.991 
1.20083, 7.815
2.64979, 5.991 
1.0308, 7.815
1.13758, 5.991 
1.76534, 7.815
3.11054, 5.991 
3.56525, 7.815
6.72266, 5.991 
1.38481, 7.815
3.1454, 5.991 
3.34511, 7.815
10.1773, 5.991 
0.873953, 7.815
7.06106, 5.991 
3.69977, 7.815
8.97166, 5.991 
0.717499, 7.815
3.11343, 5.991 
2.49264, 7.815
0.915545, 5.991 
5.96365, 7.815
1.36139, 5.991 
2.38239, 7.815
1.06438, 5.991 
1.53017, 7.815
2.68646, 5.991 
0.302761, 7.815
1.1935, 5.991 
2.21891, 7.815
3.52948, 5.991 
9.89946, 7.815
1.80024, 5.991 
12.5928, 7.815
2.42073, 5.991 
6.6389, 7.815
4.84808, 5.991 
5.1569, 7.815
3.08085, 5.991 
7.71563, 7.815
2.84876, 5.991 
5.44533, 7.815
2.28352, 5.991 
1.42607, 7.815
1.36656, 5.991 
3.01635, 7.815
0.955648, 5.991 
1.50088, 7.815
3.49875, 5.991 
3.46599, 7.815
2.7544, 5.991 
3.48015, 7.815
2.0416, 5.991 
4.99309, 7.815
3.4541, 5.991 
1.0147, 7.815
3.08831, 5.991 
0.905671, 7.815
3.09309, 5.991 
1.10269, 7.815
2.12355, 5.991 
4.55575, 7.815
2.67251, 5.991 
5.90638, 7.815
1.19412, 5.991 
4.13469, 7.815
3.25276, 5.991 
1.98387, 7.815
3.44111, 5.991 
1.82308, 7.815
4.18676, 5.991 
1.77264, 7.815
2.28751, 5.991 
1.19653, 7.815
2.70665, 5.991 
1.70214, 7.815
3.02317, 5.991 
0.241039, 7.815
1.09917, 5.991 
5.05146, 7.815
1.03483, 5.991 
6.75458, 7.815
0.835083, 5.991 
5.19626, 7.815
0.828501, 5.991 
5.98609, 7.815
0.415291, 5.991 
5.20366, 7.815
0.973023, 5.991 
5.07542, 7.815
0.419705, 5.991 
2.54025, 7.815
1.39725, 5.991 
1.72056, 7.815
0.325943, 5.991 
4.31702, 7.815
5.21733, 5.991 
0.816579, 7.815
8.33693, 5.991 
1.76281, 7.815
5.15577, 5.991 
2.19029, 7.815
0.0506564, 5.991 
11.7567, 7.815
0.528695, 5.991 
10.1677, 7.815
0.0823003, 5.991 
8.32929, 7.815
2.09974, 5.991 
7.44707, 7.815
4.71574, 5.991 
8.51619, 7.815
1.75306, 5.991 
4.46219, 7.815
0.24538, 5.991 
2.26272, 7.815
0.963394, 5.991 
2.7228, 7.815
0.229848, 5.991 
0.84819, 7.815
2.79739, 5.991 
3.01553, 7.815
0.819032, 5.991 
2.66044, 7.815
3.18696, 5.991 
2.81402, 7.815
1.06703, 5.991 
8.0759, 7.815
1.01246, 5.991 
6.03916, 7.815
0.977939, 5.991 
9.80676, 7.815
1.13756, 5.991 
0.209507, 7.815
0.925153, 5.991 
0.708855, 7.815
0.914872, 5.991 
0.0881295, 7.815
2.70955, 5.991 
13.0678, 7.815
0.911994, 5.991 
16.1796, 7.815
2.65806, 5.991 
10.1569, 7.815
1.29881, 5.991 
4.05475, 7.815
0.412483, 5.991 
6.15569, 7.815
0.836268, 5.991 
3.9276, 7.815
0.0437987, 5.991 
5.60561, 7.815
0.207709, 5.991 
5.58786, 7.815
0.0856847, 5.991 
5.11397, 7.815
1.74974, 5.991 
0.129032, 7.815
3.74096, 5.991 
0.4792, 7.815
2.2917, 5.991 
0.198074, 7.815
1.57484, 5.991 
5.9786, 7.815
3.2185, 5.991 
5.14064, 7.815
1.8279, 5.991 
5.9026, 7.815
5.76874, 5.991 
5.61835, 7.815
5.91393, 5.991 
4.51871, 7.815
5.41466, 5.991 
5.45069, 7.815
3.84354, 5.991 
3.36271, 7.815
10.4586, 5.991 
3.95905, 7.815
3.30085, 5.991 
2.46107, 7.815
1.18992, 5.991 
8.9703, 7.815
1.17208, 5.991 
8.37065, 7.815
1.87041, 5.991 
9.26274, 7.815
3.72933, 5.991 
3.79554, 7.815
0.463854, 5.991 
